"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 14:01:43 CST 2019","Tue Dec 10 14:01:46 CST 2019","2965","tests.NewBCM","test_login2","","","","test_env_login_two","
    启动App
    点击切换环境按钮
    选择test环境并等待0.5s
    选择编程猫账号登录
    点击账号，并切换成FastInputIME输入法输入username183
    点击密码，输入password183
    切换回正常输入法并点击登录按钮
    校验是否成功登录并进入首页，推荐按钮text校验, 最新按钮text校验。
    "
"passed","Tue Dec 10 14:00:42 CST 2019","Tue Dec 10 14:00:45 CST 2019","2928","tests.MainPage","test_login1","","","","test_env_login_one","
    启动App
    点击切换环境按钮
    选择test环境并等待0.5s
    选择编程猫账号登录
    点击账号，并切换成FastInputIME输入法输入username183
    点击密码，输入password183
    切换回正常输入法并点击登录按钮
    校验是否成功登录并进入首页，推荐按钮text校验, 最新按钮text校验。
    "
